FMEE,20180721000000,SHRA,4500,10000,18,28,,18.0,18.0,,0.17,0.5,1.0,1.5,2.8,-999,,,20180720170000,,130,0
FMEE,20180721010000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721020000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721030000,SHRA,4500,10000,18,28,,,,,0.0,0.0,,,,,,,20180720170000,,130,0
FMEE,20180721040000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721050000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721060000,SHRA,4500,10000,18,28,,24.0,,,0.0,0.0,0.0,1.0,2.8,-999,,,20180720170000,,130,0
FMEE,20180721070000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721080000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721090000,SHRA,4500,10000,18,28,,,,,0.0,0.0,,,,,,,20180720170000,,130,0
FMEE,20180721100000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721110000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721120000,SHRA,4500,10000,18,28,,23.0,,,0.0,0.0,0.0,0.0,1.5,-999,,,20180720170000,,130,0
FMEE,20180721130000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721140000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721150000,SHRA,4500,10000,18,28,,,,,0.0,0.0,,,,,,,20180720170000,,130,0
FMEE,20180721160000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721170000,SHRA,4500,10000,18,28,,,,,0.0,,,,,,,,20180720170000,,130,0
FMEE,20180721180000,SHRA,4500,10000,18,28,,19.0,,,0.0,0.0,0.0,0.0,1.0,-999,,,20180720170000,,130,0
FMEE,20180721190000,SHRA,4500,10000,18,18,,,,,0.83,,,,,,,,20180720170000,,130,0
FMEE,20180721200000,SHRA,4500,10000,18,18,,,,,0.83,,,,,,,,20180720170000,,130,0
FMEE,20180721210000,SHRA,4500,10000,18,18,,,,,0.83,2.5,,,,,,,20180720170000,,130,0
FMEE,20180721220000,SHRA,4500,10000,18,18,,,,,0.83,,,,,,,,20180720170000,,130,0
FMEE,20180721230000,SHRA,4500,10000,18,18,,,,,0.83,,,,,,,,20180720170000,,130,0
FMEE,20180722000000,SHRA,4500,10000,18,18,,18.0,18.0,,0.83,2.5,5.0,5.0,5.0,-999,,,20180720170000,,130,0
FMEE,20180722010000,,,,,,,,,,0.0,,,,,,,,,,,
FMEE,20180722020000,,,,,,,,,,0.0,,,,,,,,,,,
FMEE,20180722030000,,,,,,,,,,0.0,0.0,,,,,,,,,,
FMEE,20180722040000,,,,,,,,,,0.0,,,,,,,,,,,
FMEE,20180722050000,,,,,,,,,,0.0,,,,,,,,,,,
FMEE,20180722060000,NSW,,,12,12,,22.0,,,0.0,0.0,0.0,5.0,5.0,-999,,,,,115,
FMEE,20180722070000,,,,,,,,,,0.83,,,,,,,,,,,
FMEE,20180722080000,,,,,,,,,,0.83,,,,,,,,,,,
FMEE,20180722090000,,,,,,,,,,0.83,2.5,,,,,,,,,,
FMEE,20180722100000,,,,,,,,,,0.83,,,,,,,,,,,
FMEE,20180722110000,,,,,,,,,,0.83,,,,,,,,,,,
